Date,ASIANPAINT.NS_Return,BRITANNIA.NS_Return,CIPLA.NS_Return,EICHERMOT.NS_Return,NESTLEIND.NS_Return,GRASIM.NS_Return,HEROMOTOCO.NS_Return,HINDALCO.NS_Return,HINDUNILVR.NS_Return,ITC.NS_Return,LT.NS_Return,M&M.NS_Return,RELIANCE.NS_Return,TATACONSUM.NS_Return,TATAMOTORS.NS_Return,TATASTEEL.NS_Return,WIPRO.NS_Return,APOLLOHOSP.NS_Return,DRREDDY.NS_Return,TITAN.NS_Return,SBIN.NS_Return,SRTRANSFIN.NS_Return,BPCL.NS_Return,KOTAKBANK.NS_Return,INFY.NS_Return,BAJFINANCE.NS_Return,ADANIENT.NS_Return,SUNPHARMA.NS_Return,JSWSTEEL.NS_Return,HDFCBANK.NS_Return,TCS.NS_Return,ICICIBANK.NS_Return,POWERGRID.NS_Return,MARUTI.NS_Return,INDUSINDBK.NS_Return,AXISBANK.NS_Return,HCLTECH.NS_Return,ONGC.NS_Return,NTPC.NS_Return,COALINDIA.NS_Return,BHARTIARTL.NS_Return,TECHM.NS_Return,MINDTREE.NS_Return,DIVISLAB.NS_Return,ADANIPORTS.NS_Return,HDFCLIFE.NS_Return,SBILIFE.NS_Return,ULTRACEMCO.NS_Return,BAJAJ-AUTO.NS_Return,BAJAJFINSV.NS_Return,Portfolio Return
01-07-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-08-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.424898179,0,0,0,0,2.137035014
01-09-2022,0,0,0,0,0,0,0,0,0,0,0,10.02415927,0,0,0,-7.713746761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.863359805,0,0,0,2.627120942,0,0,0,0,0,0,5.28566485
01-10-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.215653746,0,0,0,0,0,0,0,0,0,0,30.34692809,0,0,0,0,0,0,0,0,0,-10.44997618,0,0,0,0,1.194269697,0,0,0,-1.850308804,0,0,0,0,12.24142828
01-11-2022,0,0,0,0,0,0,0,0,0,2.347989389,0,2.949065006,0,0,0,0,4.128784951,0,0,0,0,0,-4.854293795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.603169404,0,-1.262768317,0,0,0,0,0,0,0,0,3.218081375
01-12-2022,0,0,0,0,0,0,0,0,0,-2.485304524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26236765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.733618586,0,0,0,0,0,0,2.319304767
01-01-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.18933706,0,2.018308089,0,0,0,0,0,0,0,0,0,-22.92302228,0,0,0,0,0,0,0,0,0,0,0,0,5.335627644,0,0,0,0,0,0,0,0,0,0,-6.600730787
01-02-2023,0,0,0,0,0,0,0,0,0,0,0,-7.916580424,0,0,0,2.363361358,0,7.377922963,0,0,0,0,0,0,0,-3.692677721,-54.13934462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.785633851,0,0,0,0,0,0,0,0,-13.46461313
01-03-2023,0,0,0,0,0,0,0,-1.517208214,0,0,0,-8.735036862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145205985,0,0,0,0,0,0,0,0,-2.397560998
01-04-2023,0,0,0,0,0,0,0,-7.051132241,0,0,0,0,0,0,0,0,3.342859766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.446278197,0,0,0,0,0,-6.507221149,-0.30263614
