Date,ASIANPAINT.NS_Weight,BRITANNIA.NS_Weight,CIPLA.NS_Weight,EICHERMOT.NS_Weight,NESTLEIND.NS_Weight,GRASIM.NS_Weight,HEROMOTOCO.NS_Weight,HINDALCO.NS_Weight,HINDUNILVR.NS_Weight,ITC.NS_Weight,LT.NS_Weight,M&M.NS_Weight,RELIANCE.NS_Weight,TATACONSUM.NS_Weight,TATAMOTORS.NS_Weight,TATASTEEL.NS_Weight,WIPRO.NS_Weight,APOLLOHOSP.NS_Weight,DRREDDY.NS_Weight,TITAN.NS_Weight,SBIN.NS_Weight,SRTRANSFIN.NS_Weight,BPCL.NS_Weight,KOTAKBANK.NS_Weight,INFY.NS_Weight,BAJFINANCE.NS_Weight,ADANIENT.NS_Weight,SUNPHARMA.NS_Weight,JSWSTEEL.NS_Weight,HDFCBANK.NS_Weight,TCS.NS_Weight,ICICIBANK.NS_Weight,POWERGRID.NS_Weight,MARUTI.NS_Weight,INDUSINDBK.NS_Weight,AXISBANK.NS_Weight,HCLTECH.NS_Weight,ONGC.NS_Weight,NTPC.NS_Weight,COALINDIA.NS_Weight,BHARTIARTL.NS_Weight,TECHM.NS_Weight,MINDTREE.NS_Weight,DIVISLAB.NS_Weight,ADANIPORTS.NS_Weight,HDFCLIFE.NS_Weight,SBILIFE.NS_Weight,ULTRACEMCO.NS_Weight,BAJAJ-AUTO.NS_Weight,BAJAJFINSV.NS_Weight
01-07-2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-08-2022,0,0,0,0,0,0,0,0,0,0,0,0.528281447,0,0,0,3.04E-18,-1.43E-17,0,0,0,0,0,-0.285247815,0,0,0,0.349046447,0,0,0,0,0,0,0,0,0,0,0,0,0.122672106,0,0,0,-0.090781806,0,-0.623970379,0,0,0,0
01-09-2022,0,0,0,0,0,0,0,0,0,0,0,0.528281447,0,0,0,3.04E-18,-1.43E-17,0,0,0,0,0,-0.285247815,0,0,0,0.349046447,0,0,0,0,0,0,0,0,0,0,0,0,0.122672106,0,0,0,-0.090781806,0,0,0,0,0,0
01-10-2022,0,0,0,0,0,0,0,0,0,0.374319613,0,0.455363921,0,0,0,0,-1.43E-17,0,0,0,0,0,-0.285247815,0,0,0,0.349046447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891170619,0,0,0,0
01-11-2022,0,0,0,0,0,0,0,0,0,0.374319613,0,0.455363921,0,0,0,0.023430374,-1.43E-17,0,0,0,0,0,-0.285247815,0,0,0,0.327878599,0,0,0,0,0,0,0,0,0,0,0,0,0.051082856,0,0,0,-0.201953457,0,0,0,0,0,0
01-12-2022,0,0,0,0,0,0,0,0,0,0.614401515,0,0,0,0,0,0.023430374,-0.373985348,-0.134690173,0,0,0,0,0,0,0,0,0.327878599,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-17,0,-1.96E-17,0,-0.201953457,0,0,0,0,0,0
01-01-2023,0,0,0,0,0,0,0,0,0,0.703071534,0,0,0,0,-0.039372892,0.023430374,-0.373985348,-0.134690173,0,0,0,0,0,0,0,0,0.279395461,0,0,0,0,0,0,0,0,0,0,0,0,1.72E-17,0,-1.96E-17,0,-0.557346246,0,0,0,0,0,0
01-02-2023,0,0,0,0,0,0,0,0,0,0.703071534,0,0.279154834,0,0,0,0.023430374,-0.134200252,-0.134690173,0,0,0,0,0,0,0,-0.488474139,0.223868239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96E-17,0,-0.557346246,0,0,0,0,0,0
01-03-2023,0,0,0,0,0,0,0,-0.338346997,0,0.703071534,0,0.333244597,0,0,0,0.081167814,-0.134200252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130860629,0,-2.78E-17,0,-0.557346246,0,0,0,0,0,0
01-04-2023,0,0.399093944,0,0,0,0,0,-0.031837034,0,0.703071534,0,0.092841748,0,0,0,0.081167814,-0.134200252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130860629,0,0,0,-0.557346246,0,0,0,0,0,-0.368760451
